Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2600,0.055,2.625,-0.039262186,56.92143532,0.061909545,-0.0000414,225.970041,2596.532965,1,0.238558855,65.80131609,2,-0.096480196,0.003104957,2.5,2.75,0.240700056,0.23635893,1,-2.900422094,0.238558855
2610,0.055,2.875,-0.043054741,61.34060461,0.067898031,-0.0000335,244.7522767,2606.51963,1,0.234901803,73.27053796,2,-0.092641419,0.003009007,2.75,3,0.23689122,0.232863568,1,-2.900422094,0.234901803
2625,0.055,3.35,-0.049970077,69.13173337,0.078890466,-0.0000155,278.4297736,2621.499628,1,0.230121531,85.34399809,2,-0.086910745,0.002884255,3.2,3.5,0.232238641,0.227952672,1,-2.900422094,0.230121531
2635,0.055,3.75,-0.055637176,75.28257278,0.087967894,0.00000231,305.5251084,2631.486293,1,0.227437363,93.93678511,2,-0.083108459,0.002816643,3.6,3.9,0.229385424,0.225447935,1,-2.900422094,0.227437363
2645,0.055,4.15,-0.061433704,81.37526777,0.097252868,0.000023,332.2346228,2641.472958,1,0.224177939,102.9258363,2,-0.079320575,0.002735095,4,4.3,0.225982671,0.222339522,1,-2.900422094,0.224177939
2650,0.055,4.35,-0.064434822,84.45583897,0.102063952,0.0000347,345.7001413,2646.466291,1,0.222353979,107.5561669,2,-0.077432001,0.002691119,4.2,4.5,0.224094708,0.220582678,1,-2.900422094,0.222353979
2655,0.055,4.6,-0.067934925,87.9881218,0.10771453,0.0000491,361.4301427,2651.459624,1,0.220973104,112.2692594,2,-0.075546986,0.002657162,4.4,4.8,0.223196743,0.218700872,1,-2.900422094,0.220973104
2660,0.055,4.85,-0.07144123,91.46386124,0.113375092,0.0000644,376.8267829,2656.452956,1,0.219437234,117.0587009,2,-0.073665518,0.002618618,4.7,5,0.221046181,0.21780375,1,-2.900422094,0.219437234
2675,0.055,5.7,-0.083374691,102.8528744,0.132759669,0.000122217,427.672577,2671.432954,1,0.214952572,131.8142819,2,-0.06804226,0.002511723,5.5,5.9,0.216861015,0.213012757,1,-2.900422094,0.214952572
2680,0.055,6,-0.087573098,106.7079189,0.139600085,0.000144753,444.7786359,2676.426287,1,0.213310812,136.8361545,2,-0.066174846,0.00247192,5.8,6.2,0.215151028,0.211442395,1,-2.900422094,0.213310812
2700,0.055,7.4,-0.106949072,123.5740669,0.171437172,0.00026171,519.8093913,2696.399617,1,0.206939787,157.2113304,2,-0.058739868,0.002322664,7.2,7.6,0.20853273,0.205328682,1,-2.900422094,0.206939787
2710,0.055,8.25,-0.118448518,132.9244287,0.190544941,0.00034027,561.418327,2706.386282,1,0.203959391,167.4397069,2,-0.055043006,0.002255344,8,8.5,0.205811169,0.202085086,1,-2.900422094,0.203959391
2715,0.055,8.7,-0.124517233,137.6765267,0.200676834,0.000384573,582.3452851,2711.379615,1,0.202388797,172.5292726,2,-0.053199687,0.002219845,8.5,8.9,0.20382163,0.200943111,1,-2.900422094,0.202388797
2730,0.055,10.25,-0.144931545,152.8006913,0.235083736,0.00054573,648.3887543,2726.359613,1,0.197962115,187.5743366,2,-0.047690031,0.002121513,10,10.5,0.199577597,0.196332607,1,-2.900422094,0.197962115
2735,0.055,10.75,-0.151809435,157.6137137,0.24672569,0.000605915,668.4155564,2731.352946,1,0.196012156,192.4794045,2,-0.045860205,0.002078525,10.5,11,0.197579031,0.194432721,1,-2.900422094,0.196012156
2740,0.055,11.35,-0.159511161,162.8431944,0.259871266,0.000674479,690.3934753,2736.346278,1,0.194506128,197.3116711,2,-0.04403372,0.002044451,11.1,11.6,0.196023211,0.192977944,1,-2.900422094,0.194506128
2745,0.055,11.95,-0.167459562,168.0684103,0.273495794,0.000748387,711.8590568,2741.339611,1,0.192803301,202.0604547,2,-0.042210566,0.002008557,11.7,12.2,0.194274375,0.191322384,1,-2.900422094,0.192803301
2750,0.055,12.65,-0.176150861,173.5886414,0.288510354,0.000830959,734.482566,2746.332943,1,0.191483796,206.7151396,2,-0.040390729,0.001979235,12.4,12.9,0.19290876,0.190050205,1,-2.900422094,0.191483796
2755,0.055,13.35,-0.185116404,179.0780056,0.304076919,0.000919812,756.2968965,2751.326276,1,0.189948299,211.265218,2,-0.038574198,0.001948058,13.1,13.6,0.19133086,0.188558155,1,-2.900422094,0.189948299
2760,0.055,14,-0.193764439,184.1815858,0.319107155,0.001012011,775.1051086,2756.319609,1,0.187936019,215.700331,2,-0.036760961,0.001904827,13.7,14.3,0.189548879,0.186313477,1,-2.900422094,0.187936019
2775,0.055,16.4,-0.223878457,200.5575226,0.372309391,0.001349006,832.2393236,2771.299607,1,0.183038045,228.2153783,2,-0.031340893,0.001803847,16.1,16.7,0.184522145,0.181547507,1,-2.900422094,0.183038045
2780,0.055,17.3,-0.234905479,206.0363666,0.392071146,0.001480894,849.0846837,2776.292939,1,0.181459758,232.091439,2,-0.029540713,0.001772114,17,17.6,0.182905383,0.180008566,1,-2.900422094,0.181459758
2785,0.055,18.2,-0.246063994,211.3103301,0.412179882,0.00162199,863.2405645,2781.286272,1,0.179652033,235.8043823,2,-0.027743767,0.001734797,17.9,18.5,0.181062235,0.178237018,1,-2.900422094,0.179652033
2805,0.055,22.3,-0.295964651,231.7344932,0.504072605,0.00231399,896.4172508,2801.259602,1,0.172364893,248.8587312,2,-0.020588102,0.001591371,22,22.6,0.173653752,0.171073533,1,-2.900422094,0.172364893
2815,0.055,24.65,-0.32396327,241.0491476,0.557070264,0.002750395,891.3927812,2811.246268,1,0.168535413,254.2039212,2,-0.017029379,0.001517407,24.3,25,0.16998229,0.16708623,1,-2.900422094,0.168535413
2820,0.055,25.9,-0.338757749,245.3767873,0.585514926,0.002996013,881.3095576,2816.2396,1,0.16653849,256.5587047,2,-0.015254756,0.00147928,25.6,26.2,0.167757526,0.165318094,1,-2.900422094,0.16653849
2830,0.055,28.6,-0.370196478,253.2487459,0.647067045,0.003549047,842.2895304,2826.226265,1,0.162527089,260.6070408,2,-0.011714929,0.001404482,28.3,28.9,0.163709376,0.161343992,1,-2.900422094,0.162527089
