Strike,Maturity,"Option
price",Delta,Vega,Delta Strike,Gamma Strike,Theta,ChangedStrike,DividendFactor,ImpVolCalibrated,VegaRef,"Option
type",logMoneyness,impliedTotalVariance,Bid,Ask,ImpVolAsk,ImpVolBid,locvol,logMaturity,"Implied
vol."
2320,0.055,0.375,-0.00485453015175271,9.44520199032899,0.00807637502754419,-2.72765297804754E-05,34.7067582545506,2316.90633773804,1,0.353037995309569,0.384088879434298,2,-0.210424454966643,0.0068379718,0.3,0.45,0.360406613454688,0.344515220634639,1,-2.90042209374967,
2325,0.055,0.375,-0.00489165224115404,9.50954773520847,0.00812017066035608,-2.7557169134324E-05,34.8607960822061,2321.89967036247,1,0.349784875591286,0.438369368502813,2,-0.208271601605541,0.00671057695,0.3,0.45,0.357097113807686,0.341327933641151,1,-2.90042209374967,
2360,0.055,0.45,-0.00602022773147444,11.4365213556648,0.00988563738571625,-3.18903538486204E-05,42.035956297753,2356.85299873352,1,0.334058223315515,1.05716048911728,2,-0.193330021607342,0.00611722375,0.35,0.55,0.342108411097433,0.324614254850894,1,-2.90042209374967,
2370,0.055,0.475,-0.00641048660096022,12.0907376545913,0.0104958000279454,-3.32726074632564E-05,44.492819198696,2366.83966398239,1,0.32960326357279,1.34031940594338,2,-0.189101685497821,0.00595687455,0.4,0.55,0.335435683385003,0.323077912349254,1,-2.90042209374967,
2380,0.055,0.525,-0.00705643195072549,13.1612629154114,0.0115319271321356,-3.51748825397791E-05,48.6992160049031,2376.82632923126,1,0.326931978377979,1.68887361292448,2,-0.184891152961478,0.00585594295,0.45,0.6,0.332305961521342,0.320988647756167,1,-2.90042209374967,
2400,0.055,0.575,-0.00789309481371013,14.5268057721416,0.0128215990575461,-3.79476182714401E-05,53.7813838518925,2396.799659729,1,0.317246751498897,2.63309277754145,2,-0.176522903290961,0.00551643895,0.5,0.65,0.32214408305008,0.311882429232355,1,-2.90042209374967,
2405,0.055,0.575,-0.00795681181427413,14.6298853012046,0.0128977086494685,-3.83797701203309E-05,54.0259199108705,2401.79299235344,1,0.313925757957622,2.93128822485109,2,-0.174441737087137,0.00539862895,0.5,0.65,0.318781457329169,0.308607383084018,1,-2.90042209374967,
2415,0.055,0.625,-0.00866932647970997,15.7742649290279,0.0140246003824764,-4.02622624959384E-05,58.4955456365456,2411.77965760231,1,0.310520958690904,3.6167644011678,2,-0.170292353540325,0.00528209055,0.55,0.7,0.315041658957489,0.305608601425774,1,-2.90042209374967,
2420,0.055,0.65,-0.00903207446068273,16.3512495644618,0.0145963048073111,-4.1183345181767E-05,60.7473037177749,2416.77299022675,1,0.308715832862072,4.00864049136475,2,-0.168224100476266,0.00522090855,0.55,0.75,0.314471986785065,0.302313486067578,1,-2.90042209374967,
2430,0.055,0.675,-0.00947889721649649,17.0570004649423,0.0152703298084401,-4.25870043637565E-05,63.3137845136369,2426.75965547562,1,0.303490074456204,4.90299724674304,2,-0.164100383292404,0.0050428312,0.6,0.75,0.307678859110456,0.298969174490776,1,-2.90042209374967,
